0.015344,0.999991
0.015344,0.89203
0.115344,0.891968
0.215344,0.891906
0.315344,0.891845
0.415344,0.891783
0.515344,0.891721
0.615344,0.891659
0.715344,0.891598
0.815344,0.891536
0.915344,0.891474
1.01534,0.891413
1.11534,0.891351
1.21534,0.891289
1.31534,0.891227
1.41534,0.891166
1.51534,0.891104
1.61534,0.891042
1.71534,0.89098
1.81534,0.890919
1.91534,0.890857
2.01534,0.890795
2.11534,0.890734
2.21534,0.890672
2.31534,0.89061
2.41534,0.890548
2.51534,0.890487
2.61534,0.890425
2.71534,0.890363
2.81534,0.890301
2.91534,0.89024
3.01534,0.890178
3.11534,0.890116
3.21534,0.890055
3.31534,0.889993
3.41534,0.889931
3.51534,0.889869
3.61534,0.889808
3.71534,0.889746
3.81534,0.889684
3.91534,0.889622
4.01534,0.889561
4.11534,0.889499
4.21534,0.889437
4.31534,0.889375
4.41534,0.889314
4.51534,0.889252
4.61534,0.88919
4.71534,0.889129
4.81534,0.889067
4.91534,0.889005
5.01507,0.888944
5.11507,0.888882
5.21507,0.88882
5.31507,0.888758
5.41507,0.888697
5.51507,0.888635
5.61507,0.888573
5.71507,0.888511
5.81507,0.88845
5.91507,0.888388
6.01507,0.888326
6.11507,0.888265
6.21507,0.888203
6.31507,0.888141
6.41507,0.888079
6.51507,0.888018
6.61507,0.887956
6.71507,0.887894
6.81507,0.887832
6.91507,0.887771
7.01507,0.887709
7.11507,0.887647
7.21507,0.887586
7.31507,0.887524
7.41507,0.887462
7.51507,0.8874
7.61507,0.887339
7.71507,0.887277
7.81507,0.887215
7.91507,0.887153
8.01507,0.887092
8.11507,0.88703
8.21507,0.886968
8.31507,0.886907
8.41507,0.886845
8.51507,0.886783
8.61507,0.886721
8.71507,0.88666
8.81507,0.886598
8.91507,0.886536
9.01507,0.886474
9.11507,0.886413
9.21507,0.886351
9.31507,0.886289
9.41507,0.886228
9.51507,0.886166
9.61507,0.886104
9.71507,0.886042
9.81507,0.885981
9.91507,0.885919
10.0151,0.885857
10.0151,0.885857
10.1151,0.885795
10.2151,0.885734
10.3151,0.885672
10.4151,0.88561
10.5151,0.885549
10.6151,0.885487
10.7151,0.885425
10.8151,0.885363
10.9151,0.885302
11.0151,0.88524
11.1151,0.885178
11.2151,0.885116
11.3151,0.885055
11.4151,0.884993
11.5151,0.884931
11.6151,0.884869
11.7151,0.884808
11.8151,0.884746
11.9151,0.884684
12.0151,0.884623
12.1151,0.884561
12.2151,0.884499
12.3151,0.884437
12.4151,0.884376
12.5151,0.884314
12.6151,0.884252
12.7151,0.88419
12.8151,0.884129
12.9151,0.884067
13.0151,0.884005
13.1151,0.883944
13.2151,0.883882
